Name          	Level	Lines count	Functions count
.             	1	27988	793
bin           	2	259	10
templates     	3	259	10
cmd           	2	48	3
crud_generator	3	48	3
docs          	2	0	0
examples      	2	599	26
crud_service  	3	163	6
default       	3	218	10
rapira        	3	218	10
rapira_bank   	3	0	0
internal      	2	23315	606
config        	3	1416	7
constants     	3	13	0
create_files  	3	19975	558
database      	3	798	13
folders       	3	280	6
load_configs  	3	409	17
logic         	3	297	4
mini_func     	3	15	1
types         	3	112	0
pkg           	2	3767	148
db            	3	0	0
dbmeta        	3	3460	134
grpc          	3	0	0
model         	3	0	0
nrpc          	3	0	0
utils         	3	284	13
version       	3	23	1
scripts       	2	0	0
test_copy     	3	0	0
